No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
1,AALI,Astra Agro Lestari Tbk.,09 Des 1997,1.924.688.333,Utama
2,ABBA,Mahaka Media Tbk.,03 Apr 2002,3.935.892.857,Pemantauan Khusus
3,ABDA,Asuransi Bina Dana Arta Tbk.,06 Jul 1989,620.806.680,Pemantauan Khusus
4,ABMM,ABM Investama Tbk.,06 Des 2011,2.753.165.000,Utama
5,ACES,Aspirasi Hidup Indonesia Tbk.,06 Nov 2007,17.120.389.700,Utama
6,ACST,Acset Indonusa Tbk.,24 Jun 2013,17.675.160.000,Pengembangan
7,ADES,Akasha Wira International Tbk.,13 Jun 1994,589.896.800,Pengembangan
8,ADHI,Adhi Karya (Persero) Tbk.,18 Mar 2004,8.407.608.979,Utama
9,AISA,FKS Food Sejahtera Tbk.,11 Jun 1997,9.311.800.000,Utama
10,AKKU,Anugerah Kagum Karya Utama Tbk,01 Nov 2004,6.449.463.636,Pemantauan Khusus
11,AKPI,Argha Karya Prima Industry Tbk,18 Des 1992,612.248.000,Pengembangan
12,AKRA,AKR Corporindo Tbk.,03 Okt 1994,20.073.474.600,Utama
13,AKSI,Mineral Sumberdaya Mandiri Tbk,13 Jul 2001,720.000.000,Pengembangan
14,ALDO,Alkindo Naratama Tbk.,12 Jul 2011,2.700.713.744,Pengembangan
15,ALKA,Alakasa Industrindo Tbk,12 Jul 1990,507.665.055,Pengembangan
16,ALMI,Alumindo Light Metal Industry ,02 Jan 1997,3.816.000.000,Pemantauan Khusus
17,ALTO,Tri Banyan Tirta Tbk.,10 Jul 2012,2.191.870.558,Pemantauan Khusus
18,AMAG,Asuransi Multi Artha Guna Tbk.,23 Des 2005,5.001.552.516,Pengembangan
19,AMFG,Asahimas Flat Glass Tbk.,08 Nov 1995,434.000.000,Pengembangan
20,AMIN,Ateliers Mecaniques D Indonesi,10 Des 2015,1.080.000.000,Pengembangan
21,AMRT,Sumber Alfaria Trijaya Tbk.,15 Jan 2009,41.524.501.700,Utama
22,ANJT,Austindo Nusantara Jaya Tbk.,08 Mei 2013,3.354.175.000,Pengembangan
23,ANTM,Aneka Tambang Tbk.,27 Nov 1997,24.030.764.725,Utama
24,APEX,Apexindo Pratama Duta Tbk.,05 Jun 2013,3.546.466.661,Pengembangan
25,APIC,Pacific Strategic Financial Tb,18 Des 2002,11.766.313.488,Pengembangan
26,APII,Arita Prima Indonesia Tbk.,29 Okt 2013,1.075.760.000,Pengembangan
27,APLI,Asiaplast Industries Tbk.,01 Mei 2000,1.362.671.400,Pengembangan
28,APLN,Agung Podomoro Land Tbk.,11 Nov 2010,22.699.326.779,Utama
29,ARGO,Argo Pantes Tbk,07 Jan 1991,3.174.339.029,Pengembangan
30,ARII,Atlas Resources Tbk.,08 Nov 2011,3.750.000.000,Pengembangan
31,ARNA,Arwana Citramulia Tbk.,17 Jul 2001,7.341.430.976,Utama
32,ARTA,Arthavest Tbk,05 Nov 2002,446.674.175,Pengembangan
33,ARTI,Ratu Prabu Energi Tbk,30 Apr 2003,7.840.000.000,Pemantauan Khusus
34,ARTO,Bank Jago Tbk.,12 Jan 2016,13.722.768.400,Utama
35,ASBI,Asuransi Bintang Tbk.,29 Nov 1989,348.386.472,Pengembangan
36,ASDM,Asuransi Dayin Mitra Tbk.,15 Des 1989,384.000.000,Pengembangan
37,ASGR,Astra Graphia Tbk.,15 Nov 1989,1.348.780.500,Utama
38,ASII,Astra International Tbk.,04 Apr 1990,40.483.553.140,Utama
39,ASJT,Asuransi Jasa Tania Tbk.,23 Des 2003,1.400.000.000,Pengembangan
40,ASMI,Asuransi Maximus Graha Persada,16 Jan 2014,8.958.380.460,Pemantauan Khusus
41,ASRI,Alam Sutera Realty Tbk.,18 Des 2007,19.649.411.888,Utama
42,ASRM,Asuransi Ramayana Tbk.,19 Mar 1990,1.277.992.036,Pengembangan
43,ASSA,Adi Sarana Armada Tbk.,12 Nov 2012,3.691.137.517,Utama
44,ATIC,Anabatic Technologies Tbk.,08 Jul 2015,2.315.361.355,Pengembangan
45,AUTO,Astra Otoparts Tbk.,15 Jun 1998,4.819.733.000,Utama
46,BABP,Bank MNC Internasional Tbk.,15 Jul 2002,44.014.333.126,Pengembangan
47,BACA,Bank Capital Indonesia Tbk.,04 Okt 2007,19.753.494.636,Utama
48,BAJA,Saranacentral Bajatama Tbk.,21 Des 2011,1.800.000.000,Pengembangan
49,BALI,Bali Towerindo Sentra Tbk.,13 Mar 2014,3.934.592.500,Utama
50,BAPA,Bekasi Asri Pemula Tbk.,14 Jan 2008,661.784.520,Pengembangan
51,BATA,Sepatu Bata Tbk.,24 Mar 1982,1.300.000.000,Pemantauan Khusus
52,BAYU,Bayu Buana Tbk,30 Okt 1989,353.220.780,Utama
53,BBCA,Bank Central Asia Tbk.,31 Mei 2000,122.042.299.500,Utama
54,BBHI,Allo Bank Indonesia Tbk.,12 Agt 2015,21.512.953.877,Utama
55,BBKP,Bank KB Indonesia Tbk.,10 Jul 2006,185.819.884.852,Pengembangan
56,BBLD,Buana Finance Tbk.,07 Mei 1990,1.645.796.054,Pengembangan
57,BBMD,Bank Mestika Dharma Tbk.,08 Jul 2013,4.049.189.100,Pengembangan
58,BBNI,Bank Negara Indonesia (Persero,25 Nov 1996,36.924.339.786,Utama
59,BBRI,Bank Rakyat Indonesia (Persero,10 Nov 2003,150.043.411.587,Utama
60,BBRM,Pelayaran Nasional Bina Buana ,09 Jan 2013,8.479.490.328,Pengembangan
61,BBTN,Bank Tabungan Negara (Persero),17 Des 2009,13.894.099.969,Utama
62,BBYB,Bank Neo Commerce Tbk.,13 Jan 2015,13.216.977.523,Utama
63,BCAP,MNC Kapital Indonesia Tbk.,08 Jun 2001,42.618.850.927,Utama
